date,year,month,pmm
2024-11-01,2024,11,0.43
2024-12-01,2024,12,0.44
2025-01-01,2025,1,-1.05
2025-02-01,2025,2,-1.81
2025-03-01,2025,3,-4.26
2025-04-01,2025,4,-2.43
2025-05-01,2025,5,-2.16
2025-06-01,2025,6,-2.36
2025-07-01,2025,7,-3.03
2025-08-01,2025,8,-1.45
2025-09-01,2025,9,0.22
2025-10-01,2025,10,-0.07
2025-11-01,2025,11,-0.3
2025-12-01,2025,12,2.03
2026-01-01,2026,1,2.7
2026-02-01,2026,2,1.92
