date,year,month,pdo
1997-05-01,1997,5,1.632
1997-06-01,1997,6,2.207
1997-07-01,1997,7,1.351
1997-08-01,1997,8,2.057
1997-09-01,1997,9,1.744
1997-10-01,1997,10,1.501
1997-11-01,1997,11,1.157
1997-12-01,1997,12,0.793
1998-01-01,1998,1,0.913
1998-02-01,1998,2,1.405
1998-03-01,1998,3,1.343
1998-04-01,1998,4,0.342
1998-05-01,1998,5,-0.27
1998-06-01,1998,6,-0.336
1998-07-01,1998,7,-0.472
1998-08-01,1998,8,-0.177
1998-09-01,1998,9,-0.805
1998-10-01,1998,10,-1.419
1998-11-01,1998,11,-0.724
1998-12-01,1998,12,-1.018
1999-01-01,1999,1,-0.794
1999-02-01,1999,2,-1.009
1999-03-01,1999,3,-0.949
1999-04-01,1999,4,-1.407
1999-05-01,1999,5,-1.877
1999-06-01,1999,6,-1.967
1999-07-01,1999,7,-1.348
1999-08-01,1999,8,-1.127
1999-09-01,1999,9,-1.47
1999-10-01,1999,10,-1.995
1999-11-01,1999,11,-1.8
1999-12-01,1999,12,-1.723
2000-01-01,2000,1,-1.889
2000-02-01,2000,2,-1.162
2000-03-01,2000,3,-0.657
2000-04-01,2000,4,-0.382
2000-05-01,2000,5,-0.608
2000-06-01,2000,6,-0.73
2000-07-01,2000,7,-0.864
2000-08-01,2000,8,-1.106
2000-09-01,2000,9,-1.001
2000-10-01,2000,10,-1.101
2000-11-01,2000,11,-1.029
2000-12-01,2000,12,-0.446
2001-01-01,2001,1,0.06
2001-02-01,2001,2,-0.302
2001-03-01,2001,3,-0.294
2001-04-01,2001,4,-0.854
2001-05-01,2001,5,-0.777
2001-06-01,2001,6,-0.928
2001-07-01,2001,7,-1.598
2001-08-01,2001,8,-0.933
2001-09-01,2001,9,-1.128
2001-10-01,2001,10,-1.056
2001-11-01,2001,11,-0.775
2001-12-01,2001,12,-0.857
2002-01-01,2002,1,-0.358
2002-02-01,2002,2,-0.987
2002-03-01,2002,3,-0.71
2002-04-01,2002,4,-0.715
2002-05-01,2002,5,-1.042
2002-06-01,2002,6,-0.978
2002-07-01,2002,7,-0.186
2002-08-01,2002,8,0.266
2002-09-01,2002,9,0.097
2002-10-01,2002,10,0.177
2002-11-01,2002,11,0.916
2002-12-01,2002,12,1.198
2003-01-01,2003,1,1.145
2003-02-01,2003,2,0.986
2003-03-01,2003,3,1.004
2003-04-01,2003,4,0.522
2003-05-01,2003,5,0.085
2003-06-01,2003,6,-0.023
2003-07-01,2003,7,0.556
2003-08-01,2003,8,0.743
2003-09-01,2003,9,-0.144
2003-10-01,2003,10,0.482
2003-11-01,2003,11,-0.317
2003-12-01,2003,12,-0.558
2004-01-01,2004,1,-0.348
2004-02-01,2004,2,-0.157
2004-03-01,2004,3,0.113
2004-04-01,2004,4,0.154
2004-05-01,2004,5,0.413
2004-06-01,2004,6,-0.358
2004-07-01,2004,7,0.008
2004-08-01,2004,8,0.43
2004-09-01,2004,9,0.108
2004-10-01,2004,10,-0.666
2004-11-01,2004,11,-1.18
2004-12-01,2004,12,-0.874
2005-01-01,2005,1,-0.279
2005-02-01,2005,2,0.06
2005-03-01,2005,3,0.689
2005-04-01,2005,4,0.37
2005-05-01,2005,5,1.077
2005-06-01,2005,6,0.442
2005-07-01,2005,7,0.002
2005-08-01,2005,8,-0.21
2005-09-01,2005,9,-0.884
2005-10-01,2005,10,-1.774
2005-11-01,2005,11,-1.767
2005-12-01,2005,12,-0.36
2006-01-01,2006,1,0.342
2006-02-01,2006,2,0.362
2006-03-01,2006,3,-0.335
2006-04-01,2006,4,-0.329
2006-05-01,2006,5,-0.176
2006-06-01,2006,6,0.216
2006-07-01,2006,7,0.304
2006-08-01,2006,8,-0.58
2006-09-01,2006,9,-0.99
2006-10-01,2006,10,-0.36
2006-11-01,2006,11,-0.638
2006-12-01,2006,12,-0.506
2007-01-01,2007,1,-0.705
2007-02-01,2007,2,-0.477
2007-03-01,2007,3,-0.754
2007-04-01,2007,4,-0.287
2007-05-01,2007,5,-0.23
2007-06-01,2007,6,-0.134
2007-07-01,2007,7,0.788
2007-08-01,2007,8,0.166
2007-09-01,2007,9,-0.622
2007-10-01,2007,10,-2.032
2007-11-01,2007,11,-1.65
2007-12-01,2007,12,-1.11
2008-01-01,2008,1,-1.624
2008-02-01,2008,2,-1.431
2008-03-01,2008,3,-1.213
2008-04-01,2008,4,-1.725
2008-05-01,2008,5,-1.563
2008-06-01,2008,6,-1.739
2008-07-01,2008,7,-1.519
2008-08-01,2008,8,-1.37
2008-09-01,2008,9,-1.377
2008-10-01,2008,10,-1.709
2008-11-01,2008,11,-1.537
2008-12-01,2008,12,-1.342
2009-01-01,2009,1,-1.76
2009-02-01,2009,2,-1.665
2009-03-01,2009,3,-1.914
2009-04-01,2009,4,-1.873
2009-05-01,2009,5,-0.969
2009-06-01,2009,6,-0.527
2009-07-01,2009,7,-0.449
2009-08-01,2009,8,-0.061
2009-09-01,2009,9,0.533
2009-10-01,2009,10,0.084
2009-11-01,2009,11,-0.777
2009-12-01,2009,12,-0.658
2010-01-01,2010,1,0.056
2010-02-01,2010,2,0.257
2010-03-01,2010,3,-0.11
2010-04-01,2010,4,-0.01
2010-05-01,2010,5,-0.073
2010-06-01,2010,6,-0.855
2010-07-01,2010,7,-1.611
2010-08-01,2010,8,-1.738
2010-09-01,2010,9,-1.88
2010-10-01,2010,10,-1.38
2010-11-01,2010,11,-1.355
2010-12-01,2010,12,-1.919
2011-01-01,2011,1,-1.643
2011-02-01,2011,2,-1.202
2011-03-01,2011,3,-1.114
2011-04-01,2011,4,-1.027
2011-05-01,2011,5,-1.117
2011-06-01,2011,6,-1.682
2011-07-01,2011,7,-2.426
2011-08-01,2011,8,-2.232
2011-09-01,2011,9,-1.984
2011-10-01,2011,10,-1.664
2011-11-01,2011,11,-2.74
2011-12-01,2011,12,-2.485
2012-01-01,2012,1,-1.89
2012-02-01,2012,2,-1.262
2012-03-01,2012,3,-1.454
2012-04-01,2012,4,-0.64
2012-05-01,2012,5,-1.5
2012-06-01,2012,6,-1.413
2012-07-01,2012,7,-1.976
2012-08-01,2012,8,-1.972
2012-09-01,2012,9,-2.23
2012-10-01,2012,10,-0.802
2012-11-01,2012,11,-0.703
2012-12-01,2012,12,-1.174
2013-01-01,2013,1,-1.004
2013-02-01,2013,2,-1.24
2013-03-01,2013,3,-1.154
2013-04-01,2013,4,-0.659
2013-05-01,2013,5,-0.317
2013-06-01,2013,6,-1.203
2013-07-01,2013,7,-1.344
2013-08-01,2013,8,-1.276
2013-09-01,2013,9,-0.766
2013-10-01,2013,10,-1.347
2013-11-01,2013,11,-0.9
2013-12-01,2013,12,-1.252
2014-01-01,2014,1,-0.593
2014-02-01,2014,2,-0.295
2014-03-01,2014,3,0.415
2014-04-01,2014,4,0.526
2014-05-01,2014,5,1.31
2014-06-01,2014,6,-0.426
2014-07-01,2014,7,0.219
2014-08-01,2014,8,0.21
2014-09-01,2014,9,0.308
2014-10-01,2014,10,0.881
2014-11-01,2014,11,0.917
2014-12-01,2014,12,1.432
2015-01-01,2015,1,1.31
2015-02-01,2015,2,1.46
2015-03-01,2015,3,1.33
2015-04-01,2015,4,0.86
2015-05-01,2015,5,0.362
2015-06-01,2015,6,0.609
2015-07-01,2015,7,1.358
2015-08-01,2015,8,0.865
2015-09-01,2015,9,1.038
2015-10-01,2015,10,0.813
2015-11-01,2015,11,-0.13
2015-12-01,2015,12,-0.128
2016-01-01,2016,1,0.528
2016-02-01,2016,2,1.116
2016-03-01,2016,3,1.578
2016-04-01,2016,4,1.723
2016-05-01,2016,5,1.596
2016-06-01,2016,6,0.937
2016-07-01,2016,7,0.461
2016-08-01,2016,8,-0.184
2016-09-01,2016,9,-0.392
2016-10-01,2016,10,-0.418
2016-11-01,2016,11,0.576
2016-12-01,2016,12,-0.215
2017-01-01,2017,1,-0.474
2017-02-01,2017,2,0.018
2017-03-01,2017,3,-0.019
2017-04-01,2017,4,0.348
2017-05-01,2017,5,0.234
2017-06-01,2017,6,0.069
2017-07-01,2017,7,-0.546
2017-08-01,2017,8,-0.367
2017-09-01,2017,9,-0.024
2017-10-01,2017,10,-0.602
2017-11-01,2017,11,-0.667
2017-12-01,2017,12,-0.317
2018-01-01,2018,1,-0.1
2018-02-01,2018,2,-0.366
2018-03-01,2018,3,-0.914
2018-04-01,2018,4,-0.526
2018-05-01,2018,5,-0.496
2018-06-01,2018,6,-0.901
2018-07-01,2018,7,-0.395
2018-08-01,2018,8,-0.151
2018-09-01,2018,9,-0.325
2018-10-01,2018,10,-0.614
2018-11-01,2018,11,-0.733
2018-12-01,2018,12,-0.392
2019-01-01,2019,1,-0.466
2019-02-01,2019,2,-0.431
2019-03-01,2019,3,-0.36
2019-04-01,2019,4,0.147
2019-05-01,2019,5,0.27
2019-06-01,2019,6,-0.067
2019-07-01,2019,7,0.111
2019-08-01,2019,8,-0.112
2019-09-01,2019,9,-0.254
2019-10-01,2019,10,-1.216
2019-11-01,2019,11,-0.627
2019-12-01,2019,12,-0.267
2020-01-01,2020,1,-1.039
2020-02-01,2020,2,-1.21
2020-03-01,2020,3,-1.788
2020-04-01,2020,4,-1.537
2020-05-01,2020,5,-0.737
2020-06-01,2020,6,-1.216
2020-07-01,2020,7,-1.164
2020-08-01,2020,8,-1.412
2020-09-01,2020,9,-1.277
2020-10-01,2020,10,-0.891
2020-11-01,2020,11,-1.931
2020-12-01,2020,12,-1.465
2021-01-01,2021,1,-0.998
2021-02-01,2021,2,-1.306
2021-03-01,2021,3,-1.795
2021-04-01,2021,4,-1.595
2021-05-01,2021,5,-1.959
2021-06-01,2021,6,-1.975
2021-07-01,2021,7,-1.872
2021-08-01,2021,8,-1.081
2021-09-01,2021,9,-2.086
2021-10-01,2021,10,-2.973
2021-11-01,2021,11,-2.683
2021-12-01,2021,12,-2.702
2022-01-01,2022,1,-2.357
2022-02-01,2022,2,-1.926
2022-03-01,2022,3,-1.76
2022-04-01,2022,4,-2.108
2022-05-01,2022,5,-2.447
2022-06-01,2022,6,-1.682
2022-07-01,2022,7,-2.5
2022-08-01,2022,8,-1.949
2022-09-01,2022,9,-1.805
2022-10-01,2022,10,-1.683
2022-11-01,2022,11,-2.368
2022-12-01,2022,12,-2.165
2023-01-01,2023,1,-1.299
2023-02-01,2023,2,-1.689
2023-03-01,2023,3,-2.188
2023-04-01,2023,4,-2.736
2023-05-01,2023,5,-2.049
2023-06-01,2023,6,-2.497
2023-07-01,2023,7,-2.399
2023-08-01,2023,8,-2.118
2023-09-01,2023,9,-2.606
2023-10-01,2023,10,-2.162
2023-11-01,2023,11,-1.793
2023-12-01,2023,12,-1.769
2024-01-01,2024,1,-1.5
2024-02-01,2024,2,-1.289
2024-03-01,2024,3,-1.222
2024-04-01,2024,4,-1.744
2024-05-01,2024,5,-2.739
2024-06-01,2024,6,-2.901
2024-07-01,2024,7,-2.319
2024-08-01,2024,8,-2.099
2024-09-01,2024,9,-2.906
2024-10-01,2024,10,-3.233
2024-11-01,2024,11,-3.035
2024-12-01,2024,12,-2.092
2025-01-01,2025,1,-1.325
2025-02-01,2025,2,-1.352
2025-03-01,2025,3,-1.13
2025-04-01,2025,4,-1.165
2025-05-01,2025,5,-1.727
2025-06-01,2025,6,-2.891
2025-07-01,2025,7,-3.851
2025-08-01,2025,8,-2.846
2025-09-01,2025,9,-2.154
2025-10-01,2025,10,-2.393
2025-11-01,2025,11,-1.797
2025-12-01,2025,12,-1.26
2026-01-01,2026,1,-1.336
2026-02-01,2026,2,-0.898
2026-03-01,2026,3,-1.244
2026-04-01,2026,4,-1.211
2026-05-01,2026,5,-1.451
2026-06-01,2026,6,-1.608
2026-07-01,2026,7,
2026-08-01,2026,8,
2026-09-01,2026,9,
2026-10-01,2026,10,
2026-11-01,2026,11,
2026-12-01,2026,12,
