date,season,year,roni
2018-07-01,JJA,2018,0.08
2018-08-01,JAS,2018,0.16
2018-09-01,ASO,2018,0.35
2018-10-01,SON,2018,0.62
2018-11-01,OND,2018,0.82
2018-12-01,NDJ,2018,0.78
2019-01-01,DJF,2019,0.68
2019-02-01,JFM,2019,0.64
2019-03-01,FMA,2019,0.57
2019-04-01,MAM,2019,0.53
2019-05-01,AMJ,2019,0.37
2019-06-01,MJJ,2019,0.24
2019-07-01,JJA,2019,0.04
2019-08-01,JAS,2019,-0.12
2019-09-01,ASO,2019,-0.01
2019-10-01,SON,2019,0.15
2019-11-01,OND,2019,0.29
2019-12-01,NDJ,2019,0.22
2020-01-01,DJF,2020,0.14
2020-02-01,JFM,2020,0.1
2020-03-01,FMA,2020,0.02
2020-04-01,MAM,2020,-0.25
2020-05-01,AMJ,2020,-0.55
2020-06-01,MJJ,2020,-0.72
2020-07-01,JJA,2020,-0.76
2020-08-01,JAS,2020,-0.85
2020-09-01,ASO,2020,-1.16
2020-10-01,SON,2020,-1.37
2020-11-01,OND,2020,-1.46
2020-12-01,NDJ,2020,-1.39
2021-01-01,DJF,2021,-1.32
2021-02-01,JFM,2021,-1.18
2021-03-01,FMA,2021,-1.08
2021-04-01,MAM,2021,-0.89
2021-05-01,AMJ,2021,-0.68
2021-06-01,MJJ,2021,-0.57
2021-07-01,JJA,2021,-0.6
2021-08-01,JAS,2021,-0.76
2021-09-01,ASO,2021,-0.95
2021-10-01,SON,2021,-1.08
2021-11-01,OND,2021,-1.24
2021-12-01,NDJ,2021,-1.22
2022-01-01,DJF,2022,-1.18
2022-02-01,JFM,2022,-1.13
2022-03-01,FMA,2022,-1.19
2022-04-01,MAM,2022,-1.26
2022-05-01,AMJ,2022,-1.17
2022-06-01,MJJ,2022,-0.95
2022-07-01,JJA,2022,-0.86
2022-08-01,JAS,2022,-0.94
2022-09-01,ASO,2022,-1.07
2022-10-01,SON,2022,-1.1
2022-11-01,OND,2022,-1.05
2022-12-01,NDJ,2022,-0.99
2023-01-01,DJF,2023,-0.86
2023-02-01,JFM,2023,-0.68
2023-03-01,FMA,2023,-0.55
2023-04-01,MAM,2023,-0.31
2023-05-01,AMJ,2023,-0.04
2023-06-01,MJJ,2023,0.28
2023-07-01,JJA,2023,0.54
2023-08-01,JAS,2023,0.79
2023-09-01,ASO,2023,1.04
2023-10-01,SON,2023,1.3
2023-11-01,OND,2023,1.42
2023-12-01,NDJ,2023,1.4
2024-01-01,DJF,2024,1.13
2024-02-01,JFM,2024,0.78
2024-03-01,FMA,2024,0.42
2024-04-01,MAM,2024,0.04
2024-05-01,AMJ,2024,-0.28
2024-06-01,MJJ,2024,-0.45
2024-07-01,JJA,2024,-0.49
2024-08-01,JAS,2024,-0.56
2024-09-01,ASO,2024,-0.67
2024-10-01,SON,2024,-0.76
2024-11-01,OND,2024,-0.88
2024-12-01,NDJ,2024,-1.05
2025-01-01,DJF,2025,-1.1
2025-02-01,JFM,2025,-0.85
2025-03-01,FMA,2025,-0.66
2025-04-01,MAM,2025,-0.5
2025-05-01,AMJ,2025,-0.48
2025-06-01,MJJ,2025,-0.36
2025-07-01,JJA,2025,-0.41
2025-08-01,JAS,2025,-0.59
2025-09-01,ASO,2025,-0.78
2025-10-01,SON,2025,-0.93
2025-11-01,OND,2025,-0.98
2025-12-01,NDJ,2025,-1.04
2026-01-01,DJF,2026,-0.91
2026-02-01,JFM,2026,-0.76
2026-03-01,FMA,2026,-0.44
2026-04-01,MAM,2026,-0.04
2026-05-01,AMJ,2026,0.49
2026-06-01,MJJ,2026,0.97
2026-07-01,JJA,2026,1.36
